2025-05-22 21:56:39.7855 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 21:56:39.9026 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 21:56:40.0956 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 21:56:40.0956 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 21:56:40.2351 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 21:56:40.4276 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 21:56:40.4276 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 21:57:08.6709 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 21:57:08.7685 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-22 23:00:48.1244 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-22 23:00:48.3825 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-22 23:00:48.3825 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 23:00:49.6986 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-22 23:00:49.9130 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-22 23:00:52.3268 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-22 23:00:57.8626 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-22 23:01:01.8070 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-22 23:01:07.5776 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-22 23:01:07.5908 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:01:07.9381 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:01:07.9381 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:01:08.1269 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:01:08.4820 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:01:08.4820 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:01:08.6606 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:01:09.0009 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:01:09.0009 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:01:21.0818 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 23:01:21.2509 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-22 23:02:02.4881 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-22 23:02:02.6303 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-22 23:02:03.9138 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-22 23:02:04.1277 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-22 23:02:04.1472 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:02:04.5204 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:02:04.5204 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:02:04.7390 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:02:05.0973 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:02:05.0973 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:02:05.3099 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:02:05.6794 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:02:05.6794 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:02:07.1828 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 19 permisos de la base de datos 
2025-05-22 23:02:11.5750 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-22 23:09:02.8393 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-22 23:09:02.9751 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-22 23:09:02.9751 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 23:09:04.2877 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-22 23:09:04.5093 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-22 23:09:04.6645 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-22 23:09:13.7667 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-22 23:09:15.8818 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 2 personas de la base de datos 
2025-05-22 23:09:32.9853 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 19 permisos de la base de datos 
2025-05-22 23:09:35.9231 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-22 23:09:35.9369 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:09:36.3067 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:09:36.3067 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:09:36.4946 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:09:36.8388 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:09:36.8388 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:09:37.0185 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:09:37.3617 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 23:09:37.3617 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 23:10:00.4825 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 23:10:00.6570 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
